NSN          	SRAN	INVENTORY                                                    
1560013636147	W	26                                                              
1560013636148	W	16                                                              
1560013644013	W	7                                                               
1560013651355	W	1                                                               
1560013659445	W	1                                                               
1560013659446	W	8                                                               
1560013662443	W	1                                                               
1560013663783	W	8                                                               
1560013663784	W	7                                                               
1560013663785	W	8                                                               
1560013663786	W	9                                                               
1560013666286	W	29                                                              
1560013666675	W	8                                                               
1560013675468	W	15                                                              
1560013675469	W	15                                                              
1560013675470	W	3                                                               
1560013675471	W	1                                                               
1560013679642	W	18                                                              
1560013679643	W	5                                                               
1560013681255	W	2                                                               
1560013682648	W	1                                                               
1560013682650	W	3                                                               
1560013686995	W	2                                                               
1560013699655	W	10                                                              
1560013699891	W	13                                                              
1560013700450	W	9                                                               
1560013700451	W	16                                                              
1560013700531	W	1                                                               
1560013700533	W	3                                                               
1560013701313	W	1                                                               
1560013701957	W	16                                                              
1560013703132	W	1                                                               
1560013703134	W	1                                                               
1560013703136	W	1                                                               
1560013703138	W	1                                                               
1560013703643	W	3                                                               
1560013704094	W	13                                                              
1560013704883	W	1                                                               
1560013708534	W	20                                                              
1560013708535	W	19                                                              
1560013709169	W	3                                                               
1560013709265	W	8                                                               
1560013709816	W	8                                                               
1560013709822	W	8                                                               
1560013710094	W	2                                                               
1560013710095	W	3                                                               
1560013710353	W	10                                                              
1560013710354	W	6                                                               
1560013710355	W	10                                                              
1560013711355	W	1                                                               
1560013711356	W	1                                                               
1560013712091	W	1                                                               
1560013712115	W	1                                                               
1560013713958	W	4                                                               
1560013723221	W	4                                                               
1560013723236	W	7                                                               
1560013725479	W	12                                                              
1560013751988	W	15                                                              
1560013765851	W	1                                                               
1560013775713	W	7                                                               
1560013775820	W	10                                                              
1560013777501	W	18                                                              
1560013778755	W	2                                                               
1560013778756	W	3                                                               
1560013778757	W	10                                                              
1560013789074	W	2                                                               
1560013795529	W	6                                                               
1560013828293	W	18                                                              
1560013828479	W	2                                                               
1560013829409	W	32                                                              
1560013832866	W	6                                                               
1560013832922	W	1                                                               
1560013840088	W	5                                                               
1560013840118	W	3                                                               
1560013912063	W	1                                                               
1560013916450	W	1                                                               
1560013916452	W	16                                                              
1560013916453	W	4                                                               
1560013917526	W	10                                                              
1560013931734	W	4                                                               
1560013945427	W	128                                                             
1560013968899	W	1                                                               
1560013976319	W	4                                                               
1560013976750	W	10                                                              
1560013977420	W	6                                                               
1560013978832	W	4                                                               
1560014113555	W	3                                                               
1560014115611	W	4                                                               
1560014115628	W	1                                                               
1560014115632	W	4                                                               
1560014116599	W	3                                                               
1560014116600	W	5                                                               
1560014118105	W	19                                                              
1560014119338	W	2                                                               
1560014125305	W	2                                                               
1560014131434	W	1                                                               
1560014131451	W	12                                                              
1560014131452	W	57                                                              
1560014132246	W	3                                                               
1560014132250	W	3                                                               
1560014143402	W	2                                                               
1560014143850	W	2                                                               
1560014154109	W	245                                                             
1560014168792	W	9                                                               
1560014168793	W	1                                                               
1560014168794	W	5                                                               
1560014169837	W	3                                                               
1560014169838	W	4                                                               
1560014169841	W	2                                                               
1560014169845	W	5                                                               
1560014169846	W	1                                                               
1560014171767	W	11                                                              
1560014171779	W	1                                                               
1560014176022	W	2                                                               
1560014176025	W	36                                                              
1560014176028	W	1                                                               
1560014184995	W	1                                                               
1560014190984	W	32                                                              
1560014194970	W	2                                                               
1560014200043	W	10                                                              
1560014202828	W	13                                                              
1560014203346	W	5                                                               
1560014203347	W	10                                                              
1560014203348	W	13                                                              
1560014203349	W	8                                                               
1560014204548	W	345                                                             
1560014209191	W	8                                                               
1560014209193	W	15                                                              
1560014236197	W	2                                                               
1560014236344	W	1                                                               
1560014239642	W	5                                                               
1560014244656	W	4                                                               
1560014245841	W	20                                                              
1560014245897	W	16                                                              
1560014249652	W	465                                                             
1560014250577	W	5                                                               
1560014250578	W	10                                                              
1560014260103	W	7                                                               
1560014261494	W	10                                                              
1560014262110	W	13                                                              
1560014301134	W	6                                                               
1560014322602	W	4                                                               
1560014322603	W	2                                                               
1560014322605	W	2                                                               
1560014322892	W	2                                                               
1560014322893	W	2                                                               
1560014322895	W	3                                                               
1560014326313	W	1                                                               
1560014326316	W	14                                                              
1560014326317	W	17                                                              
1560014326318	W	2                                                               
1560014326319	W	6                                                               
1560014326320	W	14                                                              
1560014326882	W	10                                                              
1560014326891	W	17                                                              
1560014334458	W	8                                                               
1560014341108	W	3                                                               
1560014341138	W	3                                                               
1560014345742	W	1                                                               
1560014345743	W	1                                                               
1560014359165	W	3                                                               
1560014359917	W	1                                                               
1560014359918	W	13                                                              
1560014360217	W	2                                                               
1560014366199	W	64                                                              
1560014367688	W	4                                                               
1560014367692	W	3                                                               
1560014367754	W	7                                                               
