NSN          	SRAN	INVENTORY                                                    
4720013176819	W	44                                                              
4720013197812	W	17                                                              
4720013197813	W	23                                                              
4720013197815	W	10                                                              
4720013197816	W	4                                                               
4720013201242	W	42                                                              
4720013201243	W	4                                                               
4720013201245	W	9                                                               
4720013201246	W	11                                                              
4720013215462	W	45                                                              
4720013220496	W	4                                                               
4720013225737	W	14                                                              
4720013225739	W	1                                                               
4720013225740	W	11                                                              
4720013225741	W	17                                                              
4720013225742	W	17                                                              
4720013225743	W	22                                                              
4720013227076	W	13                                                              
4720013227078	W	40                                                              
4720013227079	W	32                                                              
4720013242140	W	26                                                              
4720013242141	W	9                                                               
4720013260811	W	1                                                               
4720013260813	W	2                                                               
4720013260814	W	1                                                               
4720013260815	W	2                                                               
4720013269117	W	2                                                               
4720013302689	W	1                                                               
4720013383671	W	7                                                               
4720013385889	W	37                                                              
4720013389623	W	29                                                              
4720013400356	W	8                                                               
4720013402294	W	1                                                               
4720013405223	W	11                                                              
4720013405227	W	41                                                              
4720013405228	W	2                                                               
4720013405229	W	12                                                              
4720013405230	W	21                                                              
4720013405231	W	15                                                              
4720013405232	W	2                                                               
4720013405233	W	1                                                               
4720013405895	W	7                                                               
4720013405897	W	12                                                              
4720013405899	W	4                                                               
4720013412366	W	12                                                              
4720013412369	W	5                                                               
4720013412370	W	9                                                               
4720013412371	W	5                                                               
4720013412372	W	3                                                               
4720013412373	W	16                                                              
4720013412374	W	25                                                              
4720013412375	W	26                                                              
4720013412376	W	10                                                              
4720013412378	W	11                                                              
4720013412379	W	49                                                              
4720013412380	W	2                                                               
4720013412382	W	12                                                              
4720013412383	W	46                                                              
4720013412385	W	2                                                               
4720013413820	W	4                                                               
4720013413821	W	7                                                               
4720013416218	W	5                                                               
4720013420607	W	8                                                               
4720013422453	W	9                                                               
4720013424416	W	6                                                               
4720013424417	W	3                                                               
4720013431848	W	6                                                               
4720013582426	W	2                                                               
4720013582427	W	135                                                             
4720013582496	W	23                                                              
4720013582510	W	3                                                               
4720013582520	W	9                                                               
4720013582521	W	5                                                               
4720013582522	W	6                                                               
4720013582523	W	12                                                              
4720013586078	W	16                                                              
4720013588542	W	9                                                               
4720013592934	W	1                                                               
4720013596485	W	1                                                               
4720013599624	W	16                                                              
4720013599625	W	19                                                              
4720013639301	W	87                                                              
4720013639302	W	90                                                              
4720013642641	W	90                                                              
4720013642642	W	32                                                              
4720013644417	W	56                                                              
4720013644424	W	4                                                               
4720013644426	W	9                                                               
4720013646050	W	20                                                              
4720013659145	W	18                                                              
4720013663743	W	18                                                              
4720013663744	W	4                                                               
4720013670003	W	9                                                               
4720013674817	W	10                                                              
4720013692048	W	29                                                              
4720013695202	W	1                                                               
4720013714391	W	10                                                              
4720013715765	W	40                                                              
4720013715766	W	8                                                               
4720013715767	W	15                                                              
4720013742468	W	25                                                              
4720013765630	W	21                                                              
4720013765632	W	13                                                              
4720013765639	W	16                                                              
4720013765642	W	17                                                              
4720013773120	W	14                                                              
4720013782255	W	3                                                               
4720013784091	W	5                                                               
4720013785113	W	45                                                              
4720013797198	W	42                                                              
4720013797201	W	90                                                              
4720013797258	W	9                                                               
4720013797260	W	8                                                               
4720013800924	W	45                                                              
4720013819069	W	14                                                              
4720013835017	W	39                                                              
4720013835063	W	7                                                               
4720013835473	W	105                                                             
4720013841026	W	34                                                              
4720013841154	W	26                                                              
4720013841219	W	68                                                              
4720013846261	W	2                                                               
4720013849004	W	23                                                              
4720013853786	W	1                                                               
4720013853793	W	9                                                               
4720013885507	W	44                                                              
4720013890292	W	22                                                              
4720013897766	W	3                                                               
4720013905712	W	11                                                              
4720013913867	W	3                                                               
4720013913869	W	10                                                              
4720013913870	W	18                                                              
4720013913872	W	18                                                              
4720013913873	W	4                                                               
4720013913874	W	7                                                               
4720013913875	W	8                                                               
4720013913877	W	16                                                              
4720013913879	W	14                                                              
4720013935602	W	55                                                              
4720013949903	W	8                                                               
4720013961379	W	2                                                               
4720013961382	W	2                                                               
4720013961383	W	2                                                               
4720014079239	W	5                                                               
4720014131367	W	1                                                               
4720014138865	W	4                                                               
4720014145570	W	14                                                              
4720014167846	W	8                                                               
4720014167854	W	2                                                               
4720014167860	W	6                                                               
4720014169663	W	7                                                               
4720014169665	W	11                                                              
4720014169666	W	7                                                               
4720014169667	W	1                                                               
4720014169668	W	5                                                               
4720014169673	W	5                                                               
4720014176652	W	1                                                               
4720014179453	W	9                                                               
4720014179462	W	6                                                               
4720014179466	W	4                                                               
4720014180289	W	36                                                              
4720014184038	W	119                                                             
4720014184593	W	7                                                               
4720014184644	W	54                                                              
4720014184645	W	20                                                              
4720014184648	W	69                                                              
4720014184650	W	44                                                              
4720014184651	W	9                                                               
4720014184654	W	9                                                               
4720014184656	W	7                                                               
4720014184658	W	10                                                              
4720014184661	W	14                                                              
4720014186495	W	1                                                               
4720014186500	W	15                                                              
4720014186502	W	7                                                               
4720014187081	W	349                                                             
4720014194348	W	42                                                              
4720014196282	W	4                                                               
4720014201091	W	172                                                             
4720014201093	W	8                                                               
4720014201094	W	28                                                              
4720014201096	W	11                                                              
4720014201097	W	161                                                             
4720014201098	W	3                                                               
4720014201099	W	58                                                              
4720014201102	W	2                                                               
4720014202123	W	13                                                              
4720014204109	W	3                                                               
4720014204110	W	3                                                               
4720014204112	W	9                                                               
4720014205911	W	10                                                              
4720014210113	W	5                                                               
4720014210114	W	15                                                              
4720014210116	W	1                                                               
4720014210120	W	2                                                               
4720014215240	W	60                                                              
4720014218135	W	4                                                               
4720014218137	W	16                                                              
4720014218139	W	8                                                               
4720014218140	W	35                                                              
4720014218792	W	4                                                               
4720014218797	W	5                                                               
4720014218798	W	5                                                               
4720014218799	W	5                                                               
4720014218800	W	5                                                               
4720014218801	W	5                                                               
4720014218802	W	5                                                               
4720014218803	W	5                                                               
4720014219707	W	2                                                               
4720014219721	W	4                                                               
4720014221913	W	6                                                               
4720014221915	W	9                                                               
4720014221916	W	5                                                               
4720014221917	W	5                                                               
4720014221918	W	5                                                               
4720014221919	W	5                                                               
4720014221920	W	5                                                               
4720014227222	W	19                                                              
4720014244975	W	5                                                               
4720014244976	W	5                                                               
4720014244979	W	5                                                               
4720014245439	W	5                                                               
4720014245441	W	5                                                               
4720014245442	W	6                                                               
4720014245443	W	5                                                               
4720014245444	W	5                                                               
4720014249761	W	7                                                               
4720014252113	W	4                                                               
4720014252115	W	5                                                               
4720014253819	W	5                                                               
4720014253820	W	5                                                               
4720014253822	W	5                                                               
4720014253823	W	5                                                               
4720014254601	W	5                                                               
4720014259554	W	9                                                               
4720014289852	W	6                                                               
4720014338122	W	6                                                               
4720014345406	W	23                                                              
4720014345501	W	15                                                              
4720014360131	W	9                                                               
4720014360143	W	9                                                               
4720014360146	W	7                                                               
4720014363263	W	5                                                               
4720014363940	W	21                                                              
4720014363959	W	8                                                               
4720014366610	W	7                                                               
4720014369161	W	7                                                               
4720014372276	W	7                                                               
4720014372295	W	27                                                              
4720014373053	W	2                                                               
4720014373169	W	8                                                               
4720014373952	W	28                                                              
4720014375385	W	8                                                               
4720014378957	W	8                                                               
4720014392406	W	7                                                               
4720014432247	W	1                                                               
4720014432272	W	8                                                               
4720014432325	W	1                                                               
4720014433042	W	3                                                               
4720014433131	W	24                                                              
4720014433276	W	5                                                               
4720014433918	W	5                                                               
4720014437180	W	19                                                              
4720014437704	W	4                                                               
4720014437718	W	6                                                               
4720014437948	W	21                                                              
4720014438365	W	8                                                               
4720014438378	W	5                                                               
4720014438654	W	10                                                              
4720014443433	W	6                                                               
4720014445431	W	12                                                              
4720014445465	W	3                                                               
4720014461535	W	43                                                              
4720014461690	W	7                                                               
4720014461734	W	23                                                              
4720014469541	W	20                                                              
4720014469630	W	36                                                              
4720014469787	W	24                                                              
4720014476377	W	11                                                              
4720014492729	W	8                                                               
4720014493633	W	1659                                                            
4720014496779	W	5                                                               
4720014521608	W	7                                                               
4720014521611	W	8                                                               
4720014522207	W	6                                                               
4720014523950	W	23                                                              
4720014527293	W	51                                                              
4720014527380	W	25                                                              
4720014530089	W	5                                                               
4720014534689	W	39                                                              
4720014534696	W	5                                                               
4720014534702	W	4                                                               
4720014537222	W	25                                                              
4720014537254	W	3                                                               
4720014539631	W	2                                                               
4720014539638	W	5                                                               
4720014539644	W	7                                                               
4720014539648	W	9                                                               
4720014539897	W	3                                                               
4720014540181	W	2                                                               
4720014540553	W	37                                                              
4720014540556	W	2                                                               
4720014554821	W	2                                                               
4720014555022	W	2                                                               
4720014556285	W	1                                                               
4720014558979	W	1                                                               
4720014558993	W	6                                                               
4720014560180	W	45                                                              
4720014569233	W	3                                                               
4720014569252	W	1                                                               
4720014569260	W	79                                                              
4720014571939	W	13                                                              
4720014575604	W	1                                                               
4720014580246	W	1                                                               
4720014592424	W	27                                                              
4720014601081	W	32                                                              
4720014601086	W	25                                                              
4720014603521	W	9                                                               
4720014607231	W	4                                                               
4720014607232	W	4                                                               
4720014610346	W	1                                                               
4720014618713	W	20                                                              
4720014618714	W	10                                                              
4720014664777	W	20                                                              
4720014681140	W	12                                                              
4720014682789	W	4                                                               
4720014721543	W	18                                                              
4720014722186	W	10                                                              
4720014722339	W	9                                                               
4720014724100	W	11                                                              
4720014724106	W	21                                                              
4720014742922	W	6                                                               
4720014760829	W	1                                                               
4720014793066	W	10                                                              
4720014794529	W	27                                                              
4720014794542	W	28                                                              
4720014802559	W	26                                                              
4720014802693	W	4                                                               
4720014802719	W	1                                                               
4720014809319	W	3                                                               
4720014813824	W	2                                                               
4720014824084	W	2                                                               
4720014825071	W	5                                                               
4720014878678	W	25                                                              
4720014993571	W	12                                                              
4720014993572	W	8                                                               
4720015001642	W	10                                                              
4720015004764	W	2                                                               
4720015027512	W	13                                                              
4720015033096	W	5                                                               
4720015041453	W	9                                                               
4720015045230	W	14                                                              
4720015052197	W	19                                                              
4720015052199	W	9                                                               
4720015069850	W	4                                                               
4720015079695	W	9                                                               
4720015079710	W	9                                                               
4720015080419	W	12                                                              
4720015092247	W	7                                                               
4720015092686	W	2                                                               
4720015148306	W	12                                                              
4720015154586	W	34                                                              
4720015176233	W	5                                                               
4720015193365	W	18                                                              
4720015220557	W	17                                                              
4720015244359	W	4                                                               
4720015246877	W	10                                                              
4720015261717	W	5                                                               
4720015302928	W	12                                                              
4720015305380	W	1                                                               
4720015305590	W	15                                                              
4720015306311	W	2                                                               
4720015307230	W	627                                                             
4720015309043	W	3                                                               
4720015310847	W	7                                                               
4720015314508	W	1                                                               
4720015321708	W	26                                                              
4720015327650	W	19                                                              
4720015327651	W	21                                                              
4720015331459	W	3                                                               
4720015332770	W	38                                                              
4720015335168	W	20                                                              
4720015336051	W	18                                                              
4720015346092	W	9                                                               
4720015348092	W	10                                                              
4720015348873	W	8                                                               
4720015349728	W	8                                                               
4720015351786	W	6                                                               
4720015370085	W	8                                                               
4720015372521	W	15                                                              
4720015383801	W	107                                                             
4720015385054	W	4                                                               
4720015395161	W	5                                                               
4720015395162	W	16                                                              
4720015401786	W	7                                                               
4720015412437	W	3                                                               
4720015412736	W	4                                                               
4720015412737	W	10                                                              
4720015412739	W	15                                                              
4720015413181	W	16                                                              
4720015413661	W	6                                                               
4720015414053	W	1                                                               
4720015414054	W	5                                                               
4720015414499	W	6                                                               
4720015416594	W	16                                                              
4720015417473	W	26                                                              
4720015423040	W	10                                                              
4720015423572	W	12                                                              
4720015433034	W	4                                                               
4720015549513	W	17                                                              
4720015558065	W	8                                                               
4720015558066	W	2                                                               
4720015594208	W	18                                                              
4720015604267	W	4                                                               
4720015646392	W	20                                                              
4720015746775	W	10                                                              
4720015785350	W	44                                                              
4720015834284	W	30                                                              
4720015839248	W	5                                                               
4720015868027	W	33                                                              
4720015868028	W	1                                                               
4720015868029	W	25                                                              
4720015868030	W	2                                                               
4720015868031	W	2                                                               
4720015890256	W	103                                                             
4720015917918	W	12                                                              
4720015966428	W	5                                                               
4720015985641	W	9                                                               
4720015996429	W	8                                                               
4720016002735	W	2                                                               
4720016002737	W	3                                                               
4720016003347	W	5                                                               
4720016011439	W	1                                                               
4720016077738	W	301                                                             
4720016099728	W	6                                                               
4720016141620	W	30                                                              
4720016146224	W	3                                                               
4720016155544	W	132                                                             
4720016196582	W	5                                                               
4720016204670	W	2                                                               
4720016273987	W	1                                                               
4720016289036	W	1                                                               
4720016310213	W	200                                                             
4730008030803	W	26                                                              
4730009571106	W	1578                                                            
4730010136634	W	24                                                              
4730010824675	W	94                                                              
4730011967185	W	328                                                             
4730012465198	W	12                                                              
4730012898895	W	33                                                              
4730012915375	W	4                                                               
4730013035886	W	6                                                               
4730013162058	W	3                                                               
4730013163075	W	1                                                               
4730013235097	W	24                                                              
4730013256193	W	1                                                               
4730013290956	W	1                                                               
4730013320078	W	6                                                               
4730013320080	W	2                                                               
4730013366938	W	1                                                               
4730013370065	W	23                                                              
4730013370066	W	37                                                              
4730013377251	W	26                                                              
4730013381160	W	304                                                             
4730013381163	W	115                                                             
4730013381164	W	24                                                              
4730013381166	W	21                                                              
4730013381167	W	63                                                              
4730013389599	W	434                                                             
4730013389600	W	55                                                              
4730013405194	W	464                                                             
4730013410090	W	143                                                             
4730013410091	W	4                                                               
4730013414958	W	96                                                              
4730013428480	W	6                                                               
4730013430554	W	4                                                               
4730013441692	W	177                                                             
4730013443965	W	4                                                               
4730013443969	W	91                                                              
4730013445485	W	2                                                               
4730013449466	W	8                                                               
4730013453873	W	2                                                               
4730013467906	W	21                                                              
4730013468750	W	19                                                              
4730013487468	W	108                                                             
4730013495722	W	131                                                             
4730013548326	W	5                                                               
4730013579652	W	111                                                             
4730013579653	W	5                                                               
4730013579654	W	248                                                             
4730013581950	W	36                                                              
4730013582421	W	114                                                             
4730013582423	W	8                                                               
4730013582431	W	28                                                              
4730013582437	W	19                                                              
4730013582512	W	22                                                              
4730013582513	W	20                                                              
4730013582515	W	88                                                              
4730013582594	W	8                                                               
4730013582913	W	16                                                              
4730013582914	W	24                                                              
4730013582921	W	20                                                              
4730013585817	W	34                                                              
4730013586412	W	380                                                             
4730013586413	W	57                                                              
4730013586415	W	84                                                              
4730013586416	W	378                                                             
4730013586417	W	17                                                              
4730013588185	W	51                                                              
4730013588249	W	34                                                              
4730013588300	W	85                                                              
4730013588302	W	348                                                             
4730013590459	W	17                                                              
4730013590564	W	60                                                              
4730013590752	W	45                                                              
4730013592174	W	12                                                              
4730013595083	W	41                                                              
4730013598075	W	32                                                              
4730013598088	W	50                                                              
4730013615217	W	36                                                              
4730013623582	W	11                                                              
4730013623606	W	10                                                              
4730013625782	W	5                                                               
4730013631977	W	29                                                              
4730013631992	W	71                                                              
4730013632209	W	81                                                              
4730013632217	W	10                                                              
4730013632218	W	391                                                             
4730013632220	W	48                                                              
4730013632604	W	8                                                               
4730013632606	W	46                                                              
4730013632607	W	65                                                              
4730013632621	W	3                                                               
4730013634277	W	37                                                              
4730013634281	W	11                                                              
4730013636951	W	71                                                              
4730013637261	W	13                                                              
4730013637262	W	4                                                               
4730013637263	W	42                                                              
4730013641526	W	45                                                              
4730013645604	W	21                                                              
4730013653757	W	102                                                             
4730013659080	W	28                                                              
4730013659088	W	2                                                               
4730013660701	W	20                                                              
4730013663722	W	1                                                               
4730013671429	W	9                                                               
4730013674808	W	20                                                              
4730013674809	W	12                                                              
4730013674810	W	12                                                              
4730013674811	W	23                                                              
4730013674812	W	9                                                               
4730013675446	W	4                                                               
4730013675573	W	95                                                              
4730013675574	W	96                                                              
4730013675575	W	33                                                              
